%4|1780374188.090|REQTMOUT|rdkafka#consumer-5| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374188.155|REQTMOUT|rdkafka#consumer-12| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374188.199|REQTMOUT|rdkafka#consumer-13| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374188.271|REQTMOUT|rdkafka#consumer-15| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374188.299|REQTMOUT|rdkafka#consumer-16| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374188.300|REQTMOUT|rdkafka#consumer-6| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374188.300|REQTMOUT|rdkafka#consumer-17| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374188.301|REQTMOUT|rdkafka#consumer-7| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374188.312|REQTMOUT|rdkafka#consumer-8| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780374198.025|REQTMOUT|rdkafka#consumer-14| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10104ms, timeout #0)
%5|1780374198.337|REQTMOUT|rdkafka#consumer-10| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10084ms, timeout #0)
%5|1780374198.337|REQTMOUT|rdkafka#consumer-4| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10086ms, timeout #0)
%4|1780374198.490|FAIL|rdkafka#consumer-10| [thrd:localhost:9092/1]: localhost:9092/1: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10236ms in state APIVERSION_QUERY)
%4|1780374198.500|REQTMOUT|rdkafka#consumer-10| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%5|1780374198.477|REQTMOUT|rdkafka#consumer-6| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10124ms, timeout #0)
%5|1780374198.275|REQTMOUT|rdkafka#consumer-3| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10077ms, timeout #0)
%4|1780374198.490|FAIL|rdkafka#consumer-4| [thrd:localhost:9092/1]: localhost:9092/1: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10239ms in state APIVERSION_QUERY)
%4|1780374198.473|FAIL|rdkafka#consumer-14| [thrd:localhost:9092/1]: localhost:9092/1: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10552ms in state APIVERSION_QUERY)
%5|1780374198.539|REQTMOUT|rdkafka#consumer-6| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10123ms, timeout #0)
%5|1780374198.539|REQTMOUT|rdkafka#consumer-15| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10123ms, timeout #0)
%5|1780374198.570|REQTMOUT|rdkafka#consumer-2| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10100ms, timeout #0)
%5|1780374198.601|REQTMOUT|rdkafka#consumer-7| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10123ms, timeout #0)
%5|1780374198.601|REQTMOUT|rdkafka#consumer-13| [thrd:localhost:9092/1]: localhost:9092/1: Timed out ApiVersionRequest in flight (after 10126ms, timeout #0)
%4|1780374198.620|FAIL|rdkafka#consumer-6| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10267ms in state APIVERSION_QUERY)
%5|1780374198.632|REQTMOUT|rdkafka#consumer-8| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10123ms, timeout #0)
%5|1780374198.632|REQTMOUT|rdkafka#consumer-17| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out ApiVersionRequest in flight (after 10123ms, timeout #0)
%4|1780374198.679|FAIL|rdkafka#consumer-3| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10481ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780374198.738|REQTMOUT|rdkafka#consumer-4| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374198.814|REQTMOUT|rdkafka#consumer-14| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374198.838|FAIL|rdkafka#consumer-6| [thrd:localhost:9092/1]: localhost:9092/1: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10422ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780374199.543|REQTMOUT|rdkafka#consumer-6| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374198.946|FAIL|rdkafka#consumer-2| [thrd:localhost:9092/1]: localhost:9092/1: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10475ms in state APIVERSION_QUERY)
%4|1780374198.968|FAIL|rdkafka#consumer-7| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10490ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780374199.065|FAIL|rdkafka#consumer-13| [thrd:localhost:9092/1]: localhost:9092/1: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10590ms in state APIVERSION_QUERY)
%4|1780374199.166|REQTMOUT|rdkafka#consumer-6| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374199.166|FAIL|rdkafka#consumer-8| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10657ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780374199.743|REQTMOUT|rdkafka#consumer-8| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374199.507|REQTMOUT|rdkafka#consumer-3| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374198.870|FAIL|rdkafka#consumer-15| [thrd:localhost:9092/1]: localhost:9092/1: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10455ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780374199.620|REQTMOUT|rdkafka#consumer-2| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374199.685|REQTMOUT|rdkafka#consumer-7| [thrd:GroupCoordinator]: GroupCoordinator/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374199.685|REQTMOUT|rdkafka#consumer-13| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
%4|1780374199.166|FAIL|rdkafka#consumer-17| [thrd:GroupCoordinator]: GroupCoordinator: localhost:9092: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10657ms in state APIVERSION_QUERY, 1 identical error(s) suppressed)
%4|1780374199.837|REQTMOUT|rdkafka#consumer-15| [thrd:localhost:9092/1]: localhost:9092/1: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
